BJD,mag,filter,instrument
2460082.867417254,-0.012673932,TESS,TESS
2460082.8697320432,-0.0037063616,TESS,TESS
2460082.8720468325,-0.020967966,TESS,TESS
2460082.8743616217,-0.0034186789,TESS,TESS
2460082.876676411,-0.007044485,TESS,TESS
2460082.8789911997,-0.0009753334,TESS,TESS
2460082.881305989,-0.006578493,TESS,TESS
2460082.883620778,-0.0047998936,TESS,TESS
2460082.8859355673,-0.006223624,TESS,TESS
2460082.8882503565,-0.0041436744,TESS,TESS
2460082.8905651458,-0.005229553,TESS,TESS
2460082.892879935,-0.008203901,TESS,TESS
2460082.895194724,-0.0019180083,TESS,TESS
2460082.8975095134,-0.006140873,TESS,TESS
2460082.899824302,-0.01020532,TESS,TESS
2460082.9021390914,-0.0070210807,TESS,TESS
2460082.9044538806,-0.0039254916,TESS,TESS
2460082.90676867,-0.0018745958,TESS,TESS
2460082.909083459,0.0018937206,TESS,TESS
2460082.9113982483,0.0009139651,TESS,TESS
2460082.9137130375,-0.0034753184,TESS,TESS
2460082.9160278267,-0.0045862244,TESS,TESS
2460082.9183426155,0.0019990064,TESS,TESS
2460082.9206574047,0.00026186815,TESS,TESS
2460082.922972194,0.0014936118,TESS,TESS
2460082.925286983,-0.005662004,TESS,TESS
