time,flux,flux_model
1366.9294829547434,0.99965966,0.9997441
1366.949915884652,0.9998125,0.99974626
1366.9703489143358,0.99972504,0.99974763
1366.990781743545,0.9998288,0.9997505
1367.0112147725304,0.9998577,0.9997518
1367.031647701282,0.9998536,0.9997533
1367.0520805298002,0.9997446,0.9997587
1367.0725135580797,0.999735,0.99976224
1367.0929464861329,0.99987674,0.99976337
1367.1133793137124,0.9997266,0.99976563
1367.1338123410678,0.9997935,0.9997667
1367.1542452681897,0.9997413,0.9997699
1367.174678095078,0.9997127,0.99977475
1367.1951111217277,0.99980116,0.999776
1367.2155440479182,0.9999068,0.99977463
1367.2359768741007,0.9997309,0.99977666
1367.2564098998264,0.99973816,0.99978083
1367.2768428253185,0.99981105,0.9997829
1367.297275650577,0.9997676,0.999786
1367.3177086755968,0.9997475,0.99978805
1367.3381416001575,0.99972767,0.99978906
1367.358574624479,0.9998737,0.99979186
1367.379007448806,0.9998028,0.999792
1367.3994403726683,0.99995035,0.99979085
1367.4198733960584,0.99979925,0.99979013
1367.4403062194542,0.99973273,0.99978864
1367.460739142618,0.9997076,0.9997883
1367.4811721653095,0.99963456,0.9997917
1367.501604987774,0.99973583,0.99979126
1367.5220379100065,0.99986446,0.99979484
1367.5424709319996,0.9998581,0.99979943
1367.5629038535335,0.99975115,0.9998014
1367.5833366750667,0.9997143,0.9998065
1367.6037696961284,0.9997293,0.99980825
1367.6242026169639,0.99973816,0.99980694
1367.6446354375657,0.99985605,0.9998076
1367.665068457929,0.9997855,0.99980694
1367.6855012780652,0.9998839,0.9998103
1367.7059342977373,0.99973565,0.9998111
1367.7263672174013,0.99977964,0.99981093
1367.746800136607,0.99981153,0.99981064
1367.7672330555797,0.99983466,0.99981153
1367.7876659740796,0.9998103,0.9998162
1367.808098792586,0.99978244,0.9998203
1367.828531810861,0.9999092,0.999823
1367.8489647286624,0.9998992,0.9998254
1367.8693975462375,0.9997842,0.9998273
1367.8898305635812,0.99990684,0.9998305
1367.910263480684,0.999882,0.999832
1367.9306963975614,0.9998691,0.9998369
1367.951129313973,0.9997383,0.99984
1367.9715622303775,0.9998488,0.9998392
1367.9919951463235,0.9998248,0.99984294
1368.0124280620366,0.99982345,0.9998414
1368.0328609775097,0.99988276,0.99984735
1368.0532939925251,0.9998111,0.99985296
1368.0737269075325,0.99976444,0.9998559
1368.0941597220808,0.9998462,0.999857
1368.1145927366306,0.99994034,0.99985707
